transaction_id,user_id,merchant_id,amount,timestamp,location,merchant_category,device_type,is_international,is_fraud
d5c1b5c9b0,U0483,M176,22.45,2024-08-15 18:35:05.480761,Sebha,Clothing,mobile,0,0
da9892c23c,U0502,M076,38.05,2025-06-08 20:30:52.463048,Misrata,Electronics,mobile,1,0
0dea806598,U0365,M117,1.48,2025-06-09 10:12:53.462275,Benghazi,Travel,web,0,0
65f5d37a02,U0180,M195,12.14,2025-03-12 02:27:58.478233,Tobruk,Grocery,mobile,0,0
fdc92a9f11,U0399,M044,144.8,2025-04-28 03:54:16.478610,Misrata,Travel,mobile,0,0
2ee7ff4c2a,U0971,M050,32.38,2024-07-13 22:59:54.445220,Sebha,Clothing,pos_terminal,0,0
e370490259,U0081,M160,1.93,2025-05-09 22:50:22.450556,Misrata,Grocery,web,0,0
53db0889e0,U0965,M157,23.01,2025-02-14 16:06:07.476120,Tripoli,Electronics,pos_terminal,0,0
5cb469e277,U0534,M187,45.23,2024-10-25 19:59:30.455239,Misrata,Fuel,mobile,0,0
a7f7b8b076,U0077,M128,18.12,2024-06-25 07:57:16.454748,Tripoli,Fuel,mobile,0,0
e97e6258c7,U0325,M011,20.97,2025-02-15 20:02:37.455012,Benghazi,Grocery,web,0,0
1898e961fe,U0329,M030,87.18,2025-06-12 06:11:53.473052,Tripoli,Grocery,web,0,0
cad7f4c377,U0021,M043,3.08,2024-08-15 01:04:28.458313,Tobruk,Grocery,web,0,0
7ca7df8535,U0143,M196,28.38,2024-11-07 05:48:09.462140,Benghazi,Clothing,mobile,0,0
f8ef707b09,U0876,M016,157.33,2025-03-14 14:27:04.444330,Tripoli,Fuel,web,0,0
5539bde721,U0593,M097,12.33,2024-12-31 15:39:59.453098,Tobruk,Clothing,mobile,0,0
aeb30cb28c,U0587,M018,2.96,2025-05-20 03:20:44.444653,Tripoli,Travel,pos_terminal,1,0
c277be1be2,U0803,M171,133.67,2024-09-14 11:12:05.443061,Sebha,Travel,mobile,0,0
cb2e86b47d,U0435,M172,35.94,2025-01-19 14:11:03.446625,Benghazi,Clothing,web,0,0
bf4befc09b,U0329,M012,3.66,2024-10-15 11:03:38.449018,Misrata,Travel,pos_terminal,0,0
c7784f70e0,U0358,M014,174.99,2025-01-25 19:12:34.481905,Tobruk,Fuel,web,0,0
c0c13f8410,U0481,M111,3.15,2024-10-09 02:03:04.443117,Tripoli,Electronics,web,0,0
180d14d4e0,U0421,M183,23.4,2024-07-27 12:28:56.459470,Tripoli,Travel,mobile,0,0
85b08eb2f0,U0281,M081,1.9,2024-06-25 21:23:24.463654,Tobruk,Clothing,web,0,0
802def5b57,U0976,M193,79.64,2024-09-06 00:16:20.467954,Sebha,Travel,pos_terminal,0,0
3d2b36e80e,U0425,M069,10.01,2025-03-11 09:40:52.449768,Sebha,Fuel,web,0,0
3abfae6034,U0522,M112,209.53,2025-04-19 07:41:54.451283,Tobruk,Electronics,mobile,0,0
8e00ed59e1,U0187,M035,80.05,2024-08-08 15:53:17.449933,Sebha,Fuel,pos_terminal,0,0
696d6859c6,U0133,M103,75.68,2025-03-01 13:43:24.460159,Misrata,Travel,mobile,0,0
251dd42def,U0325,M126,7.93,2025-05-03 14:39:57.466288,Tobruk,Fuel,web,0,0
f131fa04c5,U0911,M045,145.23,2025-02-17 15:41:55.451566,Tobruk,Travel,pos_terminal,0,0
